CL	Count
MFE-280_COSMIC	279
MFE-296_COSMIC	1142
MFE-319_COSMIC	6261
MFH-INO_COSMIC	493
MFM-223_COSMIC	375
MG-63_COSMIC	337
MHH-CALL-2_COSMIC	101
MHH-CALL-4_COSMIC	238
MHH-ES-1_COSMIC	362
MHH-NB-11_COSMIC	197
MHH-PREB-1_COSMIC	2589
MIA-PACA-2_COSMIC	381
MKN1_COSMIC	464
MKN28_COSMIC	533
MKN45_COSMIC	421
MKN7_COSMIC	513
ML-1_COSMIC	204
ML-2_COSMIC	261
MLMA_COSMIC	541
MM1S_COSMIC	505
MMAC-SF_COSMIC	439
MN-60_COSMIC	1604
MO-T_COSMIC	202
MOG-G-CCM_COSMIC	191
MOG-G-UVW_COSMIC	335
MOLM-13_COSMIC	500
MOLM-16_COSMIC	459
MOLP-8_COSMIC	664
MOLT-13_COSMIC	1404
MOLT-16_COSMIC	1535
MOLT-4_COSMIC	6572
MONO-MAC-6_COSMIC	248
MPP-89_COSMIC	306
MRK-NU-1_COSMIC	1203
MS-1_COSMIC	505
MS751_COSMIC	205
MSTO-211H_COSMIC	299
MV-4-11_COSMIC	217
MY-M12_COSMIC	524
MZ1-PC_COSMIC	215
MZ2-MEL_COSMIC	515
MZ7-MEL_COSMIC	3079
NALM-6_COSMIC	2338
NAMALWA_COSMIC	701
NB(TU)1-10_COSMIC	544
NB-4_COSMIC	304
NB10_COSMIC	328
NB12_COSMIC	393
NB13_COSMIC	743
NB14_COSMIC	502
NB17_COSMIC	620
NB1_COSMIC	623
NB5_COSMIC	513
NB69_COSMIC	228
NB6_COSMIC	274
NB7_COSMIC	375
NBSUSSR_COSMIC	583
NCC010_COSMIC	582
NCC021_COSMIC	562
NCCIT_COSMIC	475
NCI-H1048_COSMIC	898
NCI-H1092_COSMIC	531
NCI-H1105_COSMIC	898
NCI-H1155_COSMIC	2714
NCI-H128_COSMIC	332
NCI-H1299_COSMIC	443
NCI-H1304_COSMIC	320
NCI-H1341_COSMIC	258
NCI-H1355_COSMIC	534
NCI-H1395_COSMIC	4
NCI-H1417_COSMIC	498
NCI-H1435_COSMIC	1191
NCI-H1436_COSMIC	868
NCI-H1437_COSMIC	332
NCI-H146_COSMIC	421
NCI-H1563_COSMIC	784
NCI-H1568_COSMIC	1097
NCI-H1573_COSMIC	1855
NCI-H1581_COSMIC	322
NCI-H1623_COSMIC	826
NCI-H1648_COSMIC	731
NCI-H1650_COSMIC	164
NCI-H1651_COSMIC	1149
NCI-H1666_COSMIC	407
NCI-H1688_COSMIC	681
NCI-H1693_COSMIC	423
NCI-H1694_COSMIC	326
NCI-H1703_COSMIC	703
NCI-H1734_COSMIC	731
NCI-H1755_COSMIC	385
NCI-H1770_COSMIC	1428
NCI-H1781_COSMIC	328
NCI-H1792_COSMIC	353
NCI-H1793_COSMIC	1538
NCI-H1836_COSMIC	511
NCI-H1838_COSMIC	708
NCI-H1869_COSMIC	293
NCI-H1876_COSMIC	573
NCI-H187_COSMIC	841
NCI-H1915_COSMIC	526
NCI-H1944_COSMIC	604
NCI-H1963_COSMIC	520
NCI-H196_COSMIC	601
NCI-H1975_COSMIC	387
NCI-H1993_COSMIC	607
NCI-H2009_COSMIC	1040
NCI-H2023_COSMIC	772
NCI-H2029_COSMIC	383
NCI-H2030_COSMIC	417
NCI-H2052_COSMIC	63
NCI-H2066_COSMIC	693
NCI-H2081_COSMIC	548
NCI-H2085_COSMIC	407
NCI-H2087_COSMIC	628
NCI-H209_COSMIC	193
NCI-H2110_COSMIC	2244
NCI-H211_COSMIC	562
NCI-H2122_COSMIC	162
NCI-H2126_COSMIC	791
NCI-H2135_COSMIC	998
NCI-H2141_COSMIC	722
NCI-H2170_COSMIC	376
NCI-H2171_COSMIC	290
NCI-H2172_COSMIC	1837
NCI-H2196_COSMIC	404
NCI-H2227_COSMIC	568
NCI-H2228_COSMIC	319
NCI-H226_COSMIC	180
NCI-H2291_COSMIC	753
NCI-H2342_COSMIC	2551
NCI-H2347_COSMIC	1150
NCI-H23_COSMIC	1248
NCI-H2405_COSMIC	211
NCI-H2444_COSMIC	289
NCI-H2452_COSMIC	184
NCI-H250_COSMIC	973
NCI-H28_COSMIC	410
NCI-H292_COSMIC	306
NCI-H3122_COSMIC	347
NCI-H322M_COSMIC	727
NCI-H345_COSMIC	1046
NCI-H358_COSMIC	1204
NCI-H378_COSMIC	391
NCI-H441_COSMIC	619
NCI-H446_COSMIC	913
NCI-H460_COSMIC	419
NCI-H508_COSMIC	387
NCI-H510A_COSMIC	1384
NCI-H520_COSMIC	371
NCI-H522_COSMIC	302
NCI-H524_COSMIC	644
NCI-H526_COSMIC	545
NCI-H596_COSMIC	468
NCI-H630_COSMIC	2611
NCI-H647_COSMIC	389
NCI-H64_COSMIC	740
NCI-H650_COSMIC	2473
NCI-H660_COSMIC	356
NCI-H661_COSMIC	807
NCI-H69_COSMIC	407
NCI-H716_COSMIC	356
NCI-H720_COSMIC	532
NCI-H727_COSMIC	778
NCI-H740_COSMIC	925
NCI-H747_COSMIC	272
NCI-H748_COSMIC	852
NCI-H810_COSMIC	815
NCI-H820_COSMIC	273
NCI-H82_COSMIC	316
NCI-H835_COSMIC	931
NCI-H838_COSMIC	622
NCI-H841_COSMIC	372
NCI-H847_COSMIC	403
NCI-H929_COSMIC	343
NCI-N87_COSMIC	369
NCI-SNU-16_COSMIC	416
NCI-SNU-1_COSMIC	2163
NCI-SNU-5_COSMIC	467
NEC8_COSMIC	570
NH-12_COSMIC	450
NK-92MI_COSMIC	306
NKM-1_COSMIC	533
NMC-G1_COSMIC	345
NO-10_COSMIC	494
NO-11_COSMIC	476
NOMO-1_COSMIC	417
NOS-1_COSMIC	462
NTERA-2_COSMIC	286
NU-DUL-1_COSMIC	406
NUGC-3_COSMIC	1334
NUGC-4_COSMIC	562
NY_COSMIC	569
OACM5-1_COSMIC	278
OACP4C_COSMIC	203
OAW-28_COSMIC	212
OAW-42_COSMIC	299
OC-314_COSMIC	3343
OCI-AML2_COSMIC	228
OCI-AML3_COSMIC	256
OCI-AML5_COSMIC	1388
OCI-LY-19_COSMIC	246
OCI-LY7_COSMIC	248
OCI-M1_COSMIC	485
OCUB-M_COSMIC	980
OCUM-1_COSMIC	475
OE19_COSMIC	463
OE21_COSMIC	338
OE33_COSMIC	296
OMC-1_COSMIC	822
ONS-76_COSMIC	722
OPM-2_COSMIC	667
OS-RC-2_COSMIC	366
OSC-19_COSMIC	554
OSC-20_COSMIC	496
OUMS-23_COSMIC	568
OV-17R_COSMIC	222
OV-56_COSMIC	208
OV-7_COSMIC	237
OV-90_COSMIC	309
OVCA420_COSMIC	430
OVCA433_COSMIC	306
OVCAR-3_COSMIC	268
OVCAR-4_COSMIC	345
OVCAR-5_COSMIC	252
OVCAR-8_COSMIC	423
OVISE_COSMIC	535
OVK-18_COSMIC	2099
OVKATE_COSMIC	474
OVMIU_COSMIC	659
OVTOKO_COSMIC	581
P12-ICHIKAWA_COSMIC	536
P30-OHK_COSMIC	2039
P31-FUJ_COSMIC	1005
P32-ISH_COSMIC	373
PA-1_COSMIC	366
PA-TU-8902_COSMIC	430
PA-TU-8988T_COSMIC	273
PANC-02-03_COSMIC	206
PANC-03-27_COSMIC	236
PANC-04-03_COSMIC	307
PANC-08-13_COSMIC	395
PANC-10-05_COSMIC	213
PC-14_COSMIC	519
PC-3_COSMIC	676
PCI-15A_COSMIC	310
PCI-30_COSMIC	455
PCI-38_COSMIC	405
PCI-4B_COSMIC	343
PCI-6A_COSMIC	350
PE/CA-PJ15_COSMIC	401
PEO1_COSMIC	355
PF-382_COSMIC	2266
PFSK-1_COSMIC	184
PL-21_COSMIC	539
PL18_COSMIC	533
PL4_COSMIC	255
PSN1_COSMIC	386
PWR-1E_COSMIC	214
QGP-1_COSMIC	532
QIMR-WIL_COSMIC	260
RAJI_COSMIC	438
RAMOS-2G6-4C10_COSMIC	464
RC-K8_COSMIC	857
RCC-AB_COSMIC	248
RCC-ER_COSMIC	263
RCC-FG2_COSMIC	599
RCC-JF_COSMIC	289
RCC-JW_COSMIC	263
RCC-MF_COSMIC	258
RCC10RGB_COSMIC	430
RCH-ACV_COSMIC	1558
RCM-1_COSMIC	482
RD_COSMIC	324
REH_COSMIC	2134
