CL	Count
UMUC1_CCLE	10491
UMUC3_CCLE	8521
UT7_CCLE	8250
VCAP_CCLE	7686
VMCUB1_CCLE	8500
VMRCLCD_CCLE	8500
VMRCLCP_CCLE	7669
VMRCRCW_CCLE	8656
VMRCRCZ_CCLE	8702
WM115_CCLE	9141
WM1799_CCLE	7641
WM2664_CCLE	9678
WM793_CCLE	9227
WM88_CCLE	7924
WM983B_CCLE	7558
WSUDLCL2_CCLE	7757
YAPC_CCLE	7495
YD10B_CCLE	9420
YD15_CCLE	9760
YD38_CCLE	9210
YD8_CCLE	8466
YH13_CCLE	8991
YKG1_CCLE	7706
ZR751_CCLE	8194
ZR7530_CCLE	11287
